Sample__ID,Landcover,Hill__side,Scientific__name,Common_name_species,DBH (cm),Height (m),Native,Lat_ID,Long_ID
O3SB,24 years old,S,Hibiscus tiliaceus,Malabago,9.3,6.4,N,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,52.5,NA,E,11.59892,124.546225
O3SB,24 years old,S,Vitex quinate,Kulipapa,13.8,NA,N,11.59892,124.546225
O3SB,24 years old,S,Commersonia bartramina (L.) Merr.,Suyapao,5.2,NA,N,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,41.7,35.4,E,11.59892,124.546225
O3SB,24 years old,S,Breynia vitis-idaea,Tulog-tulog,5.7,NA,N,11.59892,124.546225
O3SB,24 years old,S,Mallotus mollissimus ,Hanom-o,7.7,NA,N,11.59892,124.546225
O3SB,24 years old,S,Psydrax dicoccos Gaertn.,Bagosalak,10,NA,E,11.59892,124.546225
O3SB,24 years old,S,Leucyosyke capitellata,Anagasi,5.7,NA,N,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,14.4,NA,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,11,NA,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,8.4,NA,E,11.59892,124.546225
O3SB,24 years old,S,Radermachera pinnata?,Banai-banai,9.6,7.3,N,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,6.8,NA,E,11.59892,124.546225
O3SB,24 years old,S,Mallotus mollissimus ,Hanom-o,9.1,NA,N,11.59892,124.546225
O3SB,24 years old,S,Homalanthus populneus,Balanti,5.5,NA,N,11.59892,124.546225
O3SB,24 years old,S,Homalanthus populneus,Balanti,6.3,NA,N,11.59892,124.546225
O3SB,24 years old,S,Alstonia scholaris,Dita,5.5,NA,N,11.59892,124.546225
O3SB,24 years old,S,Mallotus mollissimus ,Hanom-o,6.2,NA,N,11.59892,124.546225
O3SB,24 years old,S,Psydrax dicoccos Gaertn.,Bagosalak,10.3,NA,E,11.59892,124.546225
O3SB,24 years old,S,Radermachera pinnata,Banai-banai,13.8,10.3,N,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,37.9,NA,E,11.59892,124.546225
O3SB,24 years old,S,Artocarpus blancoi,Antipolo,5.2,NA,N,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,5.7,NA,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,7.5,9.3,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,8.9,11.3,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,8.2,NA,E,11.59892,124.546225
O4NB,24 years old,N,Leucaena leucocephala?,Ipil ipil,30.5,10.9,E,11.598297,124.5453
O4NB,24 years old,N,Mallotus mollissimus ,Hanom-o,34.2,NA,N,11.598297,124.5453
O4NB,24 years old,N,Mallotus mollissimus ,Hanom-o,6.3,NA,N,11.598297,124.5453
O4NB,24 years old,N,Macaranga tanarius (Linn.),Minonga,8.9,NA,N,11.598297,124.5453
O4NB,24 years old,N,Homalanthus populneus,Balanti,5.7,NA,N,11.598297,124.5453
O4NB,24 years old,N,Artocarpus blancoi,Antipolo,5.1,NA,N,11.598297,124.5453
O4NB,24 years old,N,Cocos nucifera,Coconut,22.7,14,N,11.598297,124.5453
O4NB,24 years old,N,Alstonia scholaris,Dita,6.5,NA,N,11.598297,124.5453
O4NB,24 years old,N,Leucaena leucocephala,Ipil ipil,5.3,NA,E,11.598297,124.5453
O4NB,24 years old,N,Macaranga tanarius (Linn.),Minonga,20.3,NA,N,11.598297,124.5453
O4NB,24 years old,N,Cocos nucifera,Coconut,29.7,9.4,N,11.598297,124.5453
O4NB,24 years old,N,Mallotus mollissimus ,Hanom-o,6.2,NA,N,11.598297,124.5453
O4NB,24 years old,N,Leucaena leucocephala,Ipil ipil,9,NA,E,11.598297,124.5453
O4NB,24 years old,N,Leucaena leucocephala,Ipil ipil,10.1,NA,E,11.598297,124.5453
O4NB,24 years old,N,Macaranga tanarius (Linn.),Minonga,35.5,NA,N,11.598297,124.5453
