Sample__ID,Landcover,Hill_side,Scientific__name,Common_name_species,Native,Lat_ID,Long_ID
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Breynia vitis-idaea,Tulog-tulog,N,HIDED,HIDED
O3SB,24 years old,S,Mallotus mollissimus ,Hanom-o,N,HIDED,HIDED
O3SB,24 years old,S,Psydrax dicoccos Gaertn.,Bagosalak,E,HIDED,HIDED
O3SB,24 years old,S,Leucyosyke capitellata,Anagasi,N,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Radermachera pinnata?,Banai-banai,N,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Mallotus mollissimus ,Hanom-o,N,HIDED,HIDED
O3SB,24 years old,S,Homalanthus populneus,Balanti,N,HIDED,HIDED
O3SB,24 years old,S,Homalanthus populneus,Balanti,N,HIDED,HIDED
O3SB,24 years old,S,Alstonia scholaris,Dita,N,HIDED,HIDED
O3SB,24 years old,S,Mallotus mollissimus ,Hanom-o,N,HIDED,HIDED
O3SB,24 years old,S,Psydrax dicoccos Gaertn.,Bagosalak,E,HIDED,HIDED
O3SB,24 years old,S,Radermachera pinnata,Banai-banai,N,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Artocarpus blancoi,Antipolo,N,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O4NB,24 years old,N,Leucaena leucocephala?,Ipil ipil,E,HIDED,HIDED
O4NB,24 years old,N,Mallotus mollissimus ,Hanom-o,N,HIDED,HIDED
O4NB,24 years old,N,Mallotus mollissimus ,Hanom-o,N,HIDED,HIDED
O4NB,24 years old,N,Macaranga tanarius (Linn.),Minonga,N,HIDED,HIDED
O4NB,24 years old,N,Homalanthus populneus,Balanti,N,HIDED,HIDED
O4NB,24 years old,N,Artocarpus blancoi,Antipolo,N,HIDED,HIDED
O4NB,24 years old,N,Cocos nucifera,Coconut,N,HIDED,HIDED
O4NB,24 years old,N,Alstonia scholaris,Dita,N,HIDED,HIDED
O4NB,24 years old,N,Leucaena leucocephala,Ipil ipil,E,HIDED,HIDED
O4NB,24 years old,N,Macaranga tanarius (Linn.),Minonga,N,HIDED,HIDED
O4NB,24 years old,N,Cocos nucifera,Coconut,N,HIDED,HIDED
O4NB,24 years old,N,Mallotus mollissimus ,Hanom-o,N,HIDED,HIDED
O4NB,24 years old,N,Leucaena leucocephala,Ipil ipil,E,HIDED,HIDED
O4NB,24 years old,N,Leucaena leucocephala,Ipil ipil,E,HIDED,HIDED
O4NB,24 years old,N,Macaranga tanarius (Linn.),Minonga,N,HIDED,HIDED
O4NB,24 years old,N,Artocarpus blancoi,Antipolo,N,HIDED,HIDED
O4NB,24 years old,N,Macaranga tanarius (Linn.),Minonga,N,HIDED,HIDED
O4NB,24 years old,N,Alstonia scholaris,Dita,N,HIDED,HIDED
O4NB,24 years old,N,Alstonia scholaris,Dita,N,HIDED,HIDED
O4NB,24 years old,N,Macaranga tanarius (Linn.),Minonga,N,HIDED,HIDED
O4NB,24 years old,N,Artocarpus nitidus (A. lamellosus) ,Kubi,N,HIDED,HIDED
O4NB,24 years old,N,Artocarpus nitidus (A. lamellosus) ,Kubi,N,HIDED,HIDED
O4NB,24 years old,N,Mallotus mollissimus ,Hanom-o,N,HIDED,HIDED
O4NB,24 years old,N,Mallotus mollissimus ,Hanom-o,N,HIDED,HIDED
O4NB,24 years old,N,Artocarpus blancoi,Antipolo,N,HIDED,HIDED
O4NB,24 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
O4NB,24 years old,N,Homalanthus populneus,Balanti,N,HIDED,HIDED
O4NB,24 years old,N,Pipturus arborescens,Dalunot,N,HIDED,HIDED
O4NB,24 years old,N,Artocarpus blancoi,Antipolo,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Myristica philippinensis,Duguan,N,HIDED,HIDED
R1SB,Remnant,S,Sindora Supa,Supa,N,HIDED,HIDED
R1SB,Remnant,S,Cinnamomum mercadoi,Kalingan,N,HIDED,HIDED
R1SB,Remnant,S,Caryota rumphiana,Pugahan,E,HIDED,HIDED
R1SB,Remnant,S,Cinnamomum mercadoi,Kalingan,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Diplodiscus paniculatus,Balubo,N,HIDED,HIDED
R1SB,Remnant,S,Sindora Supa,Supa,N,HIDED,HIDED
R1SB,Remnant,S,Diospyros blancoi,Kamagong,N,HIDED,HIDED
R1SB,Remnant,S,Shorea contorta,Lauan,N,HIDED,HIDED
R1SB,Remnant,S,Cinnamomum mercadoi,Kalingan,N,HIDED,HIDED
R1SB,Remnant,S,Cinnamomum mercadoi,Kalingan,N,HIDED,HIDED
R1SB,Remnant,S,Ficus variegata,Tangisang bayawak,E,HIDED,HIDED
R1SB,Remnant,S,Vitex quinate ,Kulipapa,N,HIDED,HIDED
R1SB,Remnant,S,Vitex quinate ,Kulipapa,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Pipturus arborescens,Dalunot,N,HIDED,HIDED
R1SB,Remnant,S,Sindora Supa,Supa,N,HIDED,HIDED
R1SB,Remnant,S,Vitex quinate ,Kulipapa,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Calophyllum blancoi,Bitang hol,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Glochidion camiguinense ,Bunot,N,HIDED,HIDED
R1SB,Remnant,S,Radermachera pinnata,Banai-banai,N,HIDED,HIDED
R1SB,Remnant,S,Polyscias nodosa ,Malapapaya,N,HIDED,HIDED
R1SB,Remnant,S,Glochidion camiguinense ,Bunot,N,HIDED,HIDED
R1SB,Remnant,S,Vitex quinate ,Kulipapa,N,HIDED,HIDED
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,N,HIDED,HIDED
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,N,HIDED,HIDED
