Sample__ID,Landcover,Hill_side,Scientific__name,Common_name_species,Native,Lat_ID,Long_ID
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
O2NB,24 years old,N,Dendrocnide meyeniana,Lipang kalaban,N,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.594358,124.538137
O2NB,24 years old,N,Dendrocnide meyeniana,Lipang kalaban,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.594358,124.538137
O2NB,24 years old,N,Pipturus arborescens,Dalunot,N,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
O2NB,24 years old,N,Unknown,Unknown,NA,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.594358,124.538137
O2NB,24 years old,N,Pipturus arborescens,Dalunot,N,11.594358,124.538137
O2NB,24 years old,N,Pipturus arborescens,Dalunot,N,11.594358,124.538137
O2NB,24 years old,N,Ficus heteropoda,Alangas,N,11.594358,124.538137
O2NB,24 years old,N,Pipturus arborescens,Dalunot,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
O3SB,24 years old,S,Acacia mangium,Mangium,E,11.59892,124.546225
O3SB,24 years old,S,Mallotus mollissimus ,Hanom-o,N,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,E,11.59892,124.546225
O3SB,24 years old,S,Mallotus mollissimus ,Hanom-o,N,11.59892,124.546225
O3SB,24 years old,S,Psydrax dicoccos Gaertn.,Bagosalak,E,11.59892,124.546225
O3SB,24 years old,S,Homalanthus populneus,Balanti,N,11.59892,124.546225
